-minecraft:ocean	Ocean
-minecraft:plains	Plains
-minecraft:desert	Desert
-minecraft:extreme_hills	Extreme Hills
-minecraft:forest	Forest
-minecraft:taiga	Taiga
-minecraft:swampland	Swampland
-minecraft:river	River
-minecraft:hell	Hell
-minecraft:sky	The End
-minecraft:frozen_ocean	FrozenOcean
-minecraft:frozen_river	FrozenRiver
-minecraft:ice_flats	Ice Plains
-minecraft:ice_mountains	Ice Mountains
-minecraft:mushroom_island	MushroomIsland
-minecraft:mushroom_island_shore	MushroomIslandShore
-minecraft:beaches	Beach
-minecraft:desert_hills	DesertHills
-minecraft:forest_hills	ForestHills
-minecraft:taiga_hills	TaigaHills
-minecraft:smaller_extreme_hills	Extreme Hills Edge
-minecraft:jungle	Jungle
-minecraft:jungle_hills	JungleHills
-minecraft:jungle_edge	JungleEdge
-minecraft:deep_ocean	Deep Ocean
-minecraft:stone_beach	Stone Beach
-minecraft:cold_beach	Cold Beach
-minecraft:birch_forest	Birch Forest
-minecraft:birch_forest_hills	Birch Forest Hills
-minecraft:roofed_forest	Roofed Forest
-minecraft:taiga_cold	Cold Taiga
-minecraft:taiga_cold_hills	Cold Taiga Hills
-minecraft:redwood_taiga	Mega Taiga
-minecraft:redwood_taiga_hills	Mega Taiga Hills
-minecraft:extreme_hills_with_trees	Extreme Hills+
-minecraft:savanna	Savanna
-minecraft:savanna_rock	Savanna Plateau
-minecraft:mesa	Mesa
-minecraft:mesa_rock	Mesa Plateau F
-minecraft:mesa_clear_rock	Mesa Plateau
-jeid:error_biome	A mod doesn't support extended biome IDs -- report to JEID
-randomthings:spectral	Spectral
-appliedenergistics2:storage_biome	Storage Cell
-twilightforest:twilight_lake	Twilight Lake
-twilightforest:twilight_forest	Twilight Forest
-twilightforest:dense_twilight_forest	Dense Twilight Forest
-twilightforest:twilight_highlands	Twilight Highlands
-twilightforest:mushroom_forest	Mushroom Forest
-twilightforest:twilight_swamp	Twilight Swamp
-twilightforest:twilight_stream	Twilight Stream
-twilightforest:snowy_forest	Snowy Forest
-twilightforest:twilight_glacier	Twilight Glacier
-twilightforest:twilight_clearing	Twilight Clearing
-twilightforest:oak_savannah	Oak Savanna
-twilightforest:firefly_forest	Firefly Forest
-twilightforest:deep_mushroom_forest	Deep Mushroom Forest
-twilightforest:dark_forest	Dark Forest
-twilightforest:enchanted_forest	Enchanted Forest
-twilightforest:fire_swamp	Fire Swamp
-twilightforest:dark_forest_center	Dark Forest Center
-twilightforest:highlands_center	Final Plateau
-twilightforest:thornlands	Thornlands
-twilightforest:spooky_forest	Spooky Forest
-aoa3:abyss	Abyssal Wastelands
-aoa3:ancient_cavern	Ancient Cavern
-aoa3:barathos	Barathos
-aoa3:candyland	Candyland
-aoa3:celeve	Celeve
-aoa3:creeponia	Creeponia
-aoa3:crystevia	Crystevia
-aoa3:deeplands	Deeplands
-aoa3:dustopia	Dustopian Forest
-aoa3:gardencia	Gardencia
-aoa3:greckon	Greckon
-aoa3:haven	Haven
-aoa3:immortallis	Immortallis
-aoa3:iromine	Iromine
-aoa3:lborean	L'Borean Ponds
-aoa3:lelyetia	Lelyetia
-aoa3:lunalus	Lunalus
-aoa3:mysterium	Mysterium
-aoa3:precasia	Precasian Forest
-aoa3:runandor	Runandor
-aoa3:shyrelands	Shyrelands
-aoa3:vox_ponds	Vox Ponds
-iceandfire:glacier	Glacier
-atum:dead_oasis	Dead Oasis
-atum:deadwood_forest	Deadwood Forest
-atum:dried_river	Dried River
-atum:limestone_crags	Limestone Crags
-atum:limestone_mountains	Limestone Mountains
-atum:oasis	Oasis
-atum:sand_dunes	Sand Dunes
-atum:sand_hills	Sand Hills
-atum:sand_plains	Sand Plains
-climaticbiomesjbg:subtropical_forest	Subtropical Forest
-climaticbiomesjbg:tropical_forest	Tropical Forest
-climaticbiomesjbg:pine_swamp	Pine Woods
-climaticbiomesjbg:subtropical_forest_hills	Subtropical Forest Hills
-climaticbiomesjbg:tropical_forest_hills	Tropical Forest Hills
-climaticbiomesjbg:dense_scrub	Dense Scrub
-climaticbiomesjbg:dry_scrub	Dry Scrub
-climaticbiomesjbg:dense_scrub_hills	Dense Scrub Hills
-climaticbiomesjbg:dry_scrub_hills	Dry Scrub Hills
-climaticbiomesjbg:warm_mountain	Warm Extreme Hills
-climaticbiomesjbg:warm_mountain_trees	Warm Forested Extreme Hills
-climaticbiomesjbg:hot_mountain	Tropical Extreme Hills
-climaticbiomesjbg:hot_mountain_trees	Tropical Forested Extreme Hills
-climaticbiomesjbg:active_volcano	Active Volcano
-climaticbiomesjbg:cool_montane_forest	Cool Montane Forest
-climaticbiomesjbg:warm_montane_forest	Warm Montane Forest
-climaticbiomesjbg:montane_jungle	Montane Jungle
-climaticbiomesjbg:dry_montane_forest	Dry Montane Forest
-climaticbiomesjbg:cool_plains	Cool Plains
-climaticbiomesjbg:windswept_plains	Windswept Plains
-climaticbiomesjbg:cool_windswept_plains	Cool Windswept Plains
-climaticbiomesjbg:cold_plains	Cold Plains
-climaticbiomesjbg:bog	Bog
-climaticbiomesjbg:carr	Carr
-climaticbiomesjbg:marsh	Marsh
-climaticbiomesjbg:temperate_river	Temporate River
-climaticbiomesjbg:subtropical_river	Subtropical River
-climaticbiomesjbg:tropical_river	Tropical River
-climaticbiomesjbg:coastal_waters	Coastal Waters
-climaticbiomesjbg:frozen_coastal_waters	Frozen Coastal Waters
-integrateddynamics:biome_meneglin	Meneglin
-netherex:ruthless_sands	Ruthless Sands
-minecraft:void	The Void
-netherex:fungi_forest	Fungi Forest
-minecraft:mutated_plains	Sunflower Plains
-minecraft:mutated_desert	Desert M
-minecraft:mutated_extreme_hills	Extreme Hills M
-minecraft:mutated_forest	Flower Forest
-minecraft:mutated_taiga	Taiga M
-minecraft:mutated_swampland	Swampland M
-netherex:torrid_wasteland	Torrid Wasteland
-netherex:arctic_abyss	Arctic Abyss
-nt:aegean_archipelago	Aegean Archipelago
-nt:alium_meadow	Alium Meadow
-nt:autumn_forest	Autumn Forest
-minecraft:mutated_ice_flats	Ice Plains Spikes
-nt:autumn_forest_hills	Autumn Forest Hills
-nt:birch_hills	Birch Hills
-nt:blossom_forest	Blossom Forest
-nt:blossom_forest_hills	Blossom Forest Hills
-nt:estuary	Estuary
-nt:fen	Fen
-nt:fungal_jungle	Fungal Jungle
-nt:fungal_jungle_hills	Fungal Jungle Hills
-minecraft:mutated_jungle	Jungle M
-nt:grass_hills	Grass Hills
-minecraft:mutated_jungle_edge	JungleEdge M
-nt:green_mixed_forest	Green Mixed Forest
-nt:green_mixed_forest_hills	Green Mixed Forest Hills
-nt:green_swamp	Green Swamp
-minecraft:mutated_birch_forest	Birch Forest M
-minecraft:mutated_birch_forest_hills	Birch Forest Hills M
-minecraft:mutated_roofed_forest	Roofed Forest M
-minecraft:mutated_taiga_cold	Cold Taiga M
-nt:heath	Heath
-minecraft:mutated_redwood_taiga	Mega Spruce Taiga
-minecraft:mutated_redwood_taiga_hills	Redwood Taiga Hills M
-minecraft:mutated_extreme_hills_with_trees	Extreme Hills+ M
-minecraft:mutated_savanna	Savanna M
-minecraft:mutated_savanna_rock	Savanna Plateau M
-minecraft:mutated_mesa	Mesa (Bryce)
-minecraft:mutated_mesa_rock	Mesa Plateau F M
-minecraft:mutated_mesa_clear_rock	Mesa Plateau M
-nt:highland	Highland
-nt:hills	Hills
-nt:hotspring	Hot Spring
-nt:lake	Lake
-nt:lowland	Lowland
-nt:meadow	Meadow
-nt:mixed_forest	Mixed Forest
-nt:mixed_forest_hills	Mixed Forest Hills
-nt:monsoon_forest	Monsoon Forest
-nt:moorland	Moorland
-nt:mountains	Mountains
-nt:oak_forest	Oak Forest
-nt:oak_forest_hills	Oak Forest Hills
-nt:poppy_meadow	Poppy Meadow
-nt:royal_forest	Royal Forest
-nt:royal_forest_hills	Royal Forest Hills
-nt:tall_oak_forest	Tall Oak Forest
-nt:tall_oak_forest_hills	Tall Oak Forest Hills
-nt:white_orchard	White Orchard
-nt:pink_beach	Pink Beach
-nt:purple_beach	Purple Beach
-nt:orange_beach	Orange Beach
-nt:white_beach	White Beach
-nt:black_beach	Black Beach
-nt:iron_beach	Iron Beach
-nt:olivine_beach	Olivine Beach
-nt:brown_beach	Brown Beach
-nt:autumn_taiga	Autumn Taiga
-nt:autumn_taiga_hills	Autumn Taiga Hills
-nt:blue_taiga	Blue Taiga
-nt:blue_taiga_hills	Blue Taiga Hills
-nt:cliffs	Cliffs
-nt:stone_fields	Stone Fields
-nt:maple_forest	Maple Forest
-nt:maple_forest_hills	Maple Forest Hills
-nt:mega_autumn_taiga	Mega Autumn Taiga
-nt:mega_autumn_taiga_hills	Mega Autumn Taiga Hills
-nt:mega_blue_taiga	Mega Blue Taiga
-nt:mega_blue_taiga_hills	Mega Blue Taiga Hills
-nt:mega_maple_forest	Mega Maple Forest
-nt:mega_maple_forest_hills	Mega Maple Forest Hills
-nt:pineland	Pineland
-nt:rocky_taiga	Rocky Taiga
-nt:shrubland	Shrubland
-nt:stone_mountains	Stone Mountains
-nt:clayland	Clayland
-nt:lush_desert	Lush Desert
